Out-degree	Count
0	21635
1	2036
2	9081
3	721
4	337
5	210
6	116
7	101
8	73
9	48
10	42
11	31
12	36
13	18
14	21
15	17
16	9
17	9
18	14
19	13
20	7
21	16
22	11
23	7
24	8
25	4
26	4
27	7
28	6
29	3
30	4
31	4
32	2
33	1
34	3
35	3
37	1
38	1
39	1
40	5
41	1
42	1
43	2
45	1
46	1
48	1
49	1
50	1
51	2
57	1
58	1
60	1
61	1
64	1
65	1
70	1
75	1
77	1
93	1
113	1
212	1
644	1
