Out-degree	Count
0	9714
1	2749
2	483
3	245
4	164
5	121
6	78
7	62
8	56
9	47
10	37
11	39
12	25
13	32
14	15
15	20
16	10
17	14
18	9
19	10
20	7
21	10
22	9
23	4
24	6
25	5
26	7
27	5
28	6
29	7
30	3
31	5
32	5
33	3
34	1
35	3
37	1
38	3
39	3
42	1
43	1
44	2
47	2
48	1
51	1
52	3
58	1
60	1
61	1
62	1
72	1
76	1
77	1
80	1
101	1
107	1
